condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
frequency_dependent_gain,2,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,2,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.000996984000039447,SYNTHETIC,False
frequency_dependent_gain,3,uniform_DC,1024,0,1024,0,0,0,1017,7,0,1017,7,,0.9931640625,0.0,,SYNTHETIC,False
frequency_dependent_gain,3,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,3,bounded_interval,1024,0,1024,0,0,0,0,1015,9,0,1015,,0.0,0.0087890625,0.0008862869999575196,SYNTHETIC,False
negative_blur_cancellation,0,uniform_DC,1024,1024,0,1016,8,0,0,0,0,1016,8,0.9921875,,0.0,,SYNTHETIC,False
negative_blur_cancellation,0,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,False
negative_blur_cancellation,0,multi_frequency_point_estimate,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,False
negative_blur_cancellation,0,bounded_interval,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,0.0008647539999628862,SYNTHETIC,False
negative_blur_cancellation,1,uniform_DC,1024,1024,0,1017,7,0,0,0,0,1017,7,0.9931640625,,0.0,,SYNTHETIC,False
negative_blur_cancellation,1,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,False
